subject_name,ern_quality,lst_quality,npu_quality
'15-40008-01_ERN.bdfCinciProcessedEpochs.mat',0.19,0.93,0.67
'15-40008-02_ERN.bdfCinciProcessedEpochs.mat',0.80,0.99,0.94
'15-40009-01_ERN.bdfCinciProcessedEpochs.mat',0.96,1.00,1.00
'15-40009-02_ERN.bdfCinciProcessedEpochs.mat',0.98,1.00,0.92
'15-40011-01_ERN.bdfCinciProcessedEpochs.mat',1.00,1.00,0.61
'15-40011-02_ERN.bdfCinciProcessedEpochs.mat',0.75,1.00,0.94
'15-40012-01_ERN.bdfCinciProcessedEpochs.mat',0.95,1.00,0.97
'15-40012-02_ERN.bdfCinciProcessedEpochs.mat',0.90,0.98,0.92
'15-40013-02_ERN.bdfCinciProcessedEpochs.mat',0.88,0.99,1.00
'15-40013-04_ERN.bdfCinciProcessedEpochs.mat',0.63,0.96,1.00
'15-40014-01_ERN.bdfCinciProcessedEpochs.mat',0.25,1.00,0.97
'15-40014-02_ERN.bdfCinciProcessedEpochs.mat',0.94,0.95,0.94
'15-40014-03_ERN.bdfCinciProcessedEpochs.mat',0.80,0.98,1.00
'15-40015-01_ERN.bdfCinciProcessedEpochs.mat',0.88,1.00,0.97
'15-40018-01_ERN.bdfCinciProcessedEpochs.mat',0.91,1.00,1.00
'15-40020-01_ERN.bdfCinciProcessedEpochs.mat',0.80,0.30,1.00
'15-40021-01_ERN.bdfCinciProcessedEpochs.mat',0.98,0.99,0.94
'15-40023-01_ERN.bdfCinciProcessedEpochs.mat',0.94,0.95,0.92
'15-40025-02_ERN.bdfCinciProcessedEpochs.mat',0.83,1.00,1.00
'15-40030-01_ERN.bdfCinciProcessedEpochs.mat',0.96,0.93,0.92
'SOAR_15-40001-01_ERN.bdfCinciProcessedEpochs.mat',0.89,0.94,1.00
'SOAR_15-40001-02_ERN.bdfCinciProcessedEpochs.mat',0.97,0.92,0.97
'SOAR_15-40001-03_ERN.bdfCinciProcessedEpochs.mat',0.97,0.98,1.00
'SOAR_15-40003-01_ERN.bdfCinciProcessedEpochs.mat',0.93,0.91,0.97
'SOAR_15-40003-02_ERN.bdfCinciProcessedEpochs.mat',0.52,0.95,1.00
,,,
Mean,0.82,0.95,0.94
